family,hypothesis,direction,threshold_band,horizon_label,assumed_round_trip_bps,gross_expectancy_pct,friction_absorption_ratio
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,10,0.35486790311421285,3.5486790311421283
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,15,0.35486790311421285,2.365786020761419
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,20,0.35486790311421285,1.7743395155710642
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,10,-0.025174674730399742,0.2517467473039974
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,15,-0.025174674730399742,0.1678311648693316
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,20,-0.025174674730399742,0.1258733736519987
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,10,0.26816373027466933,2.6816373027466933
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,15,0.26816373027466933,1.7877582018311289
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,3D,20,0.26816373027466933,1.3408186513733467
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,10,0.5391417164862911,5.391417164862911
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,15,0.5391417164862911,3.594278109908607
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,5D,20,0.5391417164862911,2.6957085824314553
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,10,0.18195539398343832,1.8195539398343832
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,15,0.18195539398343832,1.2130359598895888
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,2D,20,0.18195539398343832,0.9097769699171916
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,10,0.6070373392207478,6.070373392207477
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,15,0.6070373392207478,4.046915594804985
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,3D,20,0.6070373392207478,3.0351866961037386
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,10,0.8060294849950707,8.060294849950706
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,15,0.8060294849950707,5.373529899967138
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,20,0.8060294849950707,4.030147424975353
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,10,0.25618246698648406,2.5618246698648406
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,15,0.25618246698648406,1.707883113243227
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,20,0.25618246698648406,1.2809123349324203
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,3D,10,0.679297332130808,6.79297332130808
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,3D,15,0.679297332130808,4.528648880872054
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,3D,20,0.679297332130808,3.39648666065404
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,5D,10,0.7451368550285655,7.451368550285655
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,5D,15,0.7451368550285655,4.96757903352377
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,5D,20,0.7451368550285655,3.7256842751428274
